Location,BMC-Corp / BMC-AFS,Workgroup
AO-BANGALORE,BMC-Corp,IT-INFRA-HELPDESK-BLR
AO-BHOPAL,BMC-Corp,IT-INFRA-HELPDESK-BHL-AD
AO-BHOPAL,BMC-Corp,IT-INFRA-HELPDESK-BHL-AD
AO-BHUBNESHWAR,BMC-Corp,IT-INFRA-HELPDESK-BHBWR-AD
AO-BIKANER,BMC-Corp,IT-INFRA-HELPDESK-BIKR
AO-CHANDIGARH,BMC-Corp,IT-INFRA-HELPDESK-CHGR
AO-CHENNAI,BMC-Corp,IT-INFRA-HELPDESK-CHEN-AD
AO-CHOWRINGHEE,BMC-Corp,IT-INFRA-HELPDESK-CHOGHEE
AO-COCHIN,BMC-Corp,IT-INFRA-HELPDESK-COCN
AO-GUWAHATI,BMC-Corp,IT-INFRA-HELPDESK-GUWT
AO-HYDERABAD,BMC-Corp,IT-INFRA-HELPDESK-HYRD
AO-JAIPUR,BMC-Corp,IT-INFRA-HELPDESK-JPR
AO-KARNAL,BMC-Corp,IT-INFRA-HELPDESK-KRL
AO-KOLKATTA,BMC-Corp,IT-INFRA-HELPDESK-KOL
AO-LUCKNOW,BMC-Corp,IT-INFRA-HELPDESK-LKW-AD
AO-NEWDELHI,BMC-Corp,IT-INFRA-HELPDESK-DELHI
AO-PATNA-AS,BMC-Corp,IT-INFRA-HELPDESK-PTN-AD
AO-PATNA-FES,BMC-Corp,IT-INFRA-HELPDESK-PTN-FD
AO-PUNE-AS,BMC-Corp,IT-INFRA-HELPDESK-PUN-AD
AO-PUNE-FES,BMC-Corp,IT-INFRA-HELPDESK-PUN-FD
AO-RAIPUR-FES,BMC-Corp,IT-INFRA-HELPDESK-RAI
AO-RANCHI,BMC-Corp,IT-INFRA-HELPDESK-RANC
AO-SECUNDERABAD,BMC-Corp,IT-INFRA-HELPDESK-SEC
AO-VARANASI,BMC-Corp,IT-INFRA-HELPDESK-VAR
AO-NAGPUR,BMC-Corp,IT-INFRA-HELPDESK-NGP-AO
AO-VIJAYWADA,BMC-Corp,IT-INFRA-HELPDESK-VIJ
AO-MOHALI,BMC-Corp,IT-INFRA-HELPDESK-MOHALI-FD
BANER,BMC-Corp,IT-INFRA-HELPDESK-BANER
WORLI-CC,BMC-Corp,IT-INFRA-HELPDESK-MSOLVE
SEWRI,BMC-Corp,IT-INFRA-HELPDESK-SEWRI
KANDIVALI-MITC,BMC-Corp,IT-INFRA-HELPDESK-MITC-KND
HO-GATEWAY,BMC-Corp,IT-INFRA-HELPDESK-GATEWAY
